Wall time,Step,Value
1669728696.9208097,0,-0.5008205771446228
1669729961.2525887,1,-0.6184964179992676
1669731210.288282,2,-0.6505748629570007
1669732471.6421354,3,-0.6703869104385376
1669733736.4087617,4,-0.6867820620536804
1669735008.9624546,5,-0.7005671858787537
1669736268.4113083,6,-0.7097452878952026
1669737520.941722,7,-0.7153549194335938
1669738785.790188,8,-0.7228331565856934
1669740053.9296212,9,-0.7297765016555786
1669741319.059432,10,-0.7362707257270813
1669742586.4517133,11,-0.7404741048812866
1669743857.6597152,12,-0.7453871965408325
1669745124.1498744,13,-0.7493005990982056
1669746384.1613417,14,-0.7539796233177185
1669747652.7039967,15,-0.7586430907249451
1669748913.0119393,16,-0.7588933706283569
1669750178.1386778,17,-0.7647805213928223
1669751436.2410705,18,-0.7676057815551758
1669752704.825609,19,-0.7705801129341125
1669753970.563645,20,-0.7740060687065125
1669755253.375337,21,-0.7757918834686279
1669756525.2640896,22,-0.7789065837860107
1669757793.7608585,23,-0.779451310634613
1669759057.135976,24,-0.7820106148719788
1669760320.295181,25,-0.7830408811569214
1669761584.770466,26,-0.7836806774139404
1669762848.2463362,27,-0.7881603837013245
1669764125.8540435,28,-0.789330244064331
1669765390.131683,29,-0.7892748713493347
1669766667.8184814,30,-0.7931199073791504
1669767948.4520624,31,-0.7945696115493774
1669769220.3210614,32,-0.7948440313339233
1669770491.9602268,33,-0.796316921710968
1669771756.6614175,34,-0.7953733205795288
1669773031.4980443,35,-0.7988166213035583
1669774292.8092005,36,-0.7991403341293335
1669775556.3904798,37,-0.8013797402381897
1669776831.785395,38,-0.800186038017273
1669778109.18626,39,-0.8027114272117615
1669779388.5069437,40,-0.8031830787658691
1669780664.9904716,41,-0.8045154809951782
1669781927.6021771,42,-0.8064513206481934
1669783198.744851,43,-0.8055422306060791
1669784467.4449723,44,-0.8076474070549011
1669785730.2799277,45,-0.8079132437705994
1669786993.971831,46,-0.808493435382843
1669788260.1802876,47,-0.8099504113197327
1669789532.7486038,48,-0.811223566532135
1669790798.6649182,49,-0.8108029365539551
1669792077.4262512,50,-0.8122812509536743
1669793338.9659777,51,-0.8139692544937134
1669794590.0047758,52,-0.8147644996643066
1669795858.9963193,53,-0.8141598701477051
1669797122.92141,54,-0.8154492974281311
1669798391.313316,55,-0.8175198435783386
1669799648.3694434,56,-0.8159547448158264
1669800906.4140637,57,-0.8181388974189758
1669802179.0418735,58,-0.8182669281959534
1669803444.7981837,59,-0.8192878365516663
1669804718.9261003,60,-0.8203248977661133
1669805988.9506278,61,-0.8209350109100342
1669807257.0129678,62,-0.8204386830329895
1669808528.304124,63,-0.8219001889228821
1669809785.1823716,64,-0.8217353820800781
1669811047.6351745,65,-0.8228550553321838
1669812306.5057335,66,-0.8233370780944824
1669813566.432706,67,-0.8233493566513062
1669814836.181921,68,-0.824518620967865
1669816104.7513962,69,-0.8256142139434814
1669817367.0436628,70,-0.8264905214309692
1669818636.3992677,71,-0.826933741569519
1669819901.4567673,72,-0.8267109394073486
1669821171.4658625,73,-0.8282003998756409
1669822438.4674008,74,-0.8281457424163818
1669823709.6245558,75,-0.8273796439170837
1669824976.1733437,76,-0.8285502791404724
1669826235.5366507,77,-0.8275832533836365
1669827509.0835745,78,-0.8293798565864563
1669828775.3803415,79,-0.8298113346099854
1669830049.0587523,80,-0.8303740620613098
1669831308.4842386,81,-0.8312569856643677
1669832569.224779,82,-0.8312131762504578
1669833829.1091838,83,-0.8312734961509705
1669835099.1135068,84,-0.8322582244873047
1669836373.168622,85,-0.8318519592285156
1669837636.3490565,86,-0.832077145576477
1669838909.6369839,87,-0.8342689871788025
1669840177.3901076,88,-0.8333285450935364
1669841430.6939466,89,-0.8335426449775696
1669842691.5988066,90,-0.8343538045883179
1669843967.1689756,91,-0.8349602222442627
1669845231.3390207,92,-0.8349534869194031
1669846501.111512,93,-0.8347296118736267
